wall_time,type,session,nfloats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,accuracy
1779231857.628978,0,1,14,0.00,0.00,716611.50,791843.38,148649.98,7156310.00,886784.94,6605485.50,33.00,33.00,33.00,33.00,33.00,33.00,12408432371733
1779231857.756370,0,1,14,0.00,0.00,717685.62,792757.06,148143.89,7184632.00,889258.00,6632117.00,33.00,33.00,33.00,33.00,33.00,33.00,12408559536136
1779231857.883506,0,1,14,0.00,0.00,717752.12,791493.38,149082.44,7175013.50,888266.75,6623470.00,33.00,33.00,33.00,33.00,33.00,33.00,12408686703022
1779231858.010567,0,1,14,0.00,0.00,716676.00,792545.31,148248.83,7144615.00,885947.44,6595950.50,33.00,33.00,33.00,33.00,33.00,33.00,12408813968134
1779231858.137943,0,1,14,0.00,0.00,715740.88,792709.00,147939.92,7135126.00,884631.50,6586963.00,33.00,33.00,33.00,33.00,33.00,33.00,12408941173432
1779231858.265337,0,1,14,0.00,0.00,716718.69,792878.62,148233.59,7151955.50,886089.00,6602483.50,33.00,33.00,33.00,33.00,33.00,33.00,12409068354682
1779231858.393387,0,1,14,0.09,0.00,716435.75,791221.88,148223.44,7165346.50,887473.75,6615305.00,33.00,33.00,33.00,33.00,33.00,33.00,12409195600018
1779231858.520802,0,1,14,3222.96,0.00,716430.81,792091.38,148114.27,7147731.00,885553.94,6597570.00,33.00,33.00,33.00,33.00,33.00,33.00,12409322958677
1779231858.648627,0,1,14,117566904.00,0.00,717078.06,793243.31,148448.56,7168596.00,887779.19,6618527.00,33.00,33.00,33.00,33.00,33.00,33.00,12409450282423
1779231858.776149,0,1,14,4275930398720.00,0.00,716713.75,791213.00,148400.31,7162531.50,887799.44,6612662.50,33.00,33.00,33.00,33.00,33.00,33.00,12409577727060
1779231858.902710,0,1,14,161392604557082624.00,0.00,716383.12,791121.88,148583.12,7146215.50,886731.31,6596168.50,33.00,33.00,33.00,33.00,33.00,33.00,12409705027694
1779231859.030719,0,1,14,6190271434264644943872.00,0.00,717670.75,791485.56,148347.84,7183353.50,889428.94,6632399.50,33.00,33.00,33.00,33.00,33.00,33.00,12409832458659
1779231859.157709,0,1,14,231266479963959248128311296.00,0.00,716566.81,791517.94,148167.58,7137806.00,886002.06,6587929.00,33.00,33.00,33.00,33.00,33.00,33.00,12409959828629
1779231859.286229,0,1,14,8399830574552515295222433841152.00,0.00,716482.44,791088.50,148302.98,7145756.00,886197.25,6596469.00,33.00,33.00,33.00,33.00,33.00,33.00,12410087017122
1779231859.412682,0,1,14,306076416199575131260662811396669440.00,0.00,718212.75,791001.25,148858.17,7178494.50,888198.00,6600728.00,33.00,33.00,33.00,33.00,33.00,33.00,12410214402798
1779231859.539334,0,1,14,-0.00,0.00,716594.62,792236.50,148293.69,7143117.50,884444.38,6594315.50,33.00,33.00,33.00,33.00,33.00,33.00,12410341543195
1779231859.666285,0,1,14,-0.00,0.00,717383.81,790834.62,148217.52,7188554.50,889564.50,6635221.50,33.00,33.00,33.00,33.00,33.00,33.00,12410467981118
1779231859.793711,0,1,14,-0.00,0.00,717752.12,792115.94,148743.92,7177229.00,888032.06,6624558.00,33.00,33.00,33.00,33.00,33.00,33.00,12410595313979
1779231859.919387,0,1,14,-0.00,0.00,718197.88,791653.19,149442.12,7203969.50,890008.50,6649953.50,33.00,33.00,33.00,33.00,33.00,33.00,12410722774281
1779231860.047128,0,1,14,-0.00,0.00,716722.69,791921.81,148149.81,7146966.00,886116.31,6597365.00,33.00,33.00,33.00,33.00,33.00,33.00,12410849950241
