wall_time,type,session,nfloats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,accuracy
1779232294.161891,0,1,14,310934090285056.00,0.00,743071.81,825862.12,153547.56,7417866.50,913017.75,6846884.50,33.00,33.00,33.00,33.00,33.00,33.00,44418557310
1779232294.289370,0,1,14,11722302482045468672.00,0.00,742554.62,826822.88,153959.72,7419908.50,911985.06,6849276.00,33.00,33.00,33.00,33.00,33.00,33.00,44545781244
1779232294.416543,0,1,14,434947455861886136877056.00,0.00,741855.75,826496.38,153674.52,7410483.50,912298.56,6840105.00,33.00,33.00,33.00,33.00,33.00,33.00,44673021209
1779232294.543331,0,1,14,15902330651556145340037988352.00,0.00,743274.38,827184.62,154705.31,7433689.00,914451.00,6860548.50,33.00,33.00,33.00,33.00,33.00,33.00,44800247910
1779232294.670448,0,1,14,555296264237036781665056932757504.00,0.00,741811.06,826980.69,153559.42,7397339.50,911350.81,6827457.50,33.00,33.00,33.00,33.00,33.00,33.00,44926961304
1779232294.798165,0,1,14,20077562337257189465582990034840059904.00,0.00,741537.06,824486.69,153918.25,7388767.50,910670.12,6819024.50,33.00,33.00,33.00,33.00,33.00,33.00,45054274756
1779232294.925467,0,1,14,-0.00,0.00,740597.94,823619.12,153688.91,7399001.50,911360.94,6828561.50,33.00,33.00,33.00,33.00,33.00,33.00,45181535351
1779232295.051913,0,1,14,-0.00,0.00,742447.38,826346.44,154057.05,7439670.50,913181.62,6866991.00,33.00,33.00,33.00,33.00,33.00,33.00,45308726448
1779232295.178449,0,1,14,-0.00,0.00,741292.88,826421.88,153468.02,7403108.00,911581.44,6833278.00,33.00,33.00,33.00,33.00,33.00,33.00,45435065779
1779232295.306941,0,1,14,-0.00,0.00,740840.19,823737.75,153628.81,7408892.00,911225.44,6838345.00,33.00,33.00,33.00,33.00,33.00,33.00,45562266804
1779232295.434594,0,1,14,-0.00,0.00,741522.19,823948.50,153692.28,7400124.50,911602.69,6831024.00,33.00,33.00,33.00,33.00,33.00,33.00,45689581435
1779232295.561147,0,1,14,-0.00,0.00,741210.44,824053.38,153989.34,7421536.50,911802.94,6850023.50,33.00,33.00,33.00,33.00,33.00,33.00,45816919423
1779232295.689456,0,1,14,-0.00,0.00,739694.56,824033.81,152976.31,7386686.50,909893.31,6817611.00,33.00,33.00,33.00,33.00,33.00,33.00,45944195766
1779232295.816743,0,1,14,-0.00,0.00,740620.75,824208.31,153956.33,7396164.50,910361.62,6826837.00,33.00,33.00,33.00,33.00,33.00,33.00,46071604799
1779232295.944908,0,1,14,-22.23,0.00,742107.88,824903.38,154235.62,7438660.00,913726.81,6866576.00,33.00,33.00,33.00,33.00,33.00,33.00,46199331784
1779232296.072002,0,1,14,-827667.56,0.00,740988.06,824366.12,153787.08,7384200.00,909665.69,6815292.00,33.00,33.00,33.00,33.00,33.00,33.00,46326747449
1779232296.199001,0,1,14,-30227507200.00,0.00,741026.81,823829.88,153411.31,7406205.50,911324.56,6836123.00,33.00,33.00,33.00,33.00,33.00,33.00,46454093413
1779232296.326914,0,1,14,-1092823759716352.00,0.00,739744.19,825531.75,153494.25,7397772.00,910458.69,6828378.50,33.00,33.00,33.00,33.00,33.00,33.00,46581447351
1779232296.454105,0,1,14,-41830748354923986944.00,0.00,740777.62,825081.75,153718.52,7396236.00,911345.75,6826944.50,33.00,33.00,33.00,33.00,33.00,33.00,46708891947
1779232296.579504,0,1,14,-1591509129975544137383936.00,0.00,741656.19,825531.75,154022.34,7438346.00,913551.81,6866834.50,33.00,33.00,33.00,33.00,33.00,33.00,46836253169
1779232296.707173,0,1,14,-58883046003907120080219013120.00,0.00,742014.56,827137.56,153996.95,7414988.50,911726.06,6844993.00,33.00,33.00,33.00,33.00,33.00,33.00,46963507946
1779232296.834043,0,1,14,-2148546604005503778942506181328896.00,0.00,743118.50,827053.25,154487.81,7442796.50,914249.75,6869886.50,33.00,33.00,33.00,33.00,33.00,33.00,47090752753
1779232296.961258,0,1,14,-77154047813978111385567862511802253312.00,0.00,741725.69,824786.69,153804.84,7390948.50,910084.44,6821562.00,33.00,33.00,33.00,33.00,33.00,33.00,47217913169
1779232297.090563,0,1,14,0.00,0.00,741960.94,824354.38,154166.22,7412381.50,911785.75,6841879.50,33.00,33.00,33.00,33.00,33.00,33.00,47345973773
1779232297.216859,0,1,14,0.00,0.00,741570.81,826030.75,154010.50,7409667.00,912029.56,6838834.00,33.00,33.00,33.00,33.00,33.00,33.00,47473287103
1779232297.344892,0,1,14,0.00,0.00,742244.88,826465.06,153935.17,7429709.00,912132.69,6858322.00,33.00,33.00,33.00,33.00,33.00,33.00,47600519581
1779232297.471579,0,1,14,0.00,0.00,742097.94,825494.50,153698.22,7393792.50,909558.50,6824417.50,33.00,33.00,33.00,33.00,33.00,33.00,47727847315
1779232297.598596,0,1,14,0.00,0.00,743445.12,827346.38,154212.77,7462504.50,915394.75,6888642.50,33.00,33.00,33.00,33.00,33.00,33.00,47855107544
1779232297.725531,0,1,14,0.00,0.00,741707.81,826717.00,153737.98,7393757.00,910193.69,6824203.00,33.00,33.00,33.00,33.00,33.00,33.00,47981879207
1779232297.852694,0,1,14,0.00,0.00,741580.75,825456.25,154272.86,7404084.50,911031.19,6834919.50,33.00,33.00,33.00,33.00,33.00,33.00,48108753003
1779232297.980376,0,1,14,0.00,0.00,739731.25,824039.69,153804.00,7386579.00,910571.00,6817509.00,33.00,33.00,33.00,33.00,33.00,33.00,48236115649
1779232298.106938,0,1,14,87.99,0.00,742093.00,826409.12,153577.19,7421699.00,912679.94,6851418.50,33.00,33.00,33.00,33.00,33.00,33.00,48363469099
1779232298.234475,0,1,14,3239744.00,0.00,742297.50,826111.12,154328.72,7421266.50,912836.69,6849990.00,33.00,33.00,33.00,33.00,33.00,33.00,48490724608
1779232298.363895,0,1,14,133322579968.00,0.00,741916.31,827018.94,154203.45,7429501.00,913826.94,6857624.00,33.00,33.00,33.00,33.00,33.00,33.00,48619869481
1779232298.491071,0,1,14,5048068873388032.00,0.00,743156.19,826792.44,154552.98,7456919.00,915771.00,6884486.00,33.00,33.00,33.00,33.00,33.00,33.00,48747215241
1779232298.619681,0,1,14,191262176306146574336.00,0.00,741514.25,825707.25,154156.91,7437669.50,913001.56,6866168.00,33.00,33.00,33.00,33.00,33.00,33.00,48874513596
1779232298.746720,0,1,14,7226004705413689832898560.00,0.00,742084.06,826003.31,154077.36,7393489.00,911688.69,6823904.00,33.00,33.00,33.00,33.00,33.00,33.00,49002005840
1779232298.873179,0,1,14,268118080573101345017589399552.00,0.00,742123.75,826851.31,153746.45,7414287.00,911615.81,6843141.50,33.00,33.00,33.00,33.00,33.00,33.00,49129493893
1779232299.002310,0,1,14,9711376545935460113275213473382400.00,0.00,741804.12,825984.69,153572.95,7404750.50,911679.56,6834248.50,33.00,33.00,33.00,33.00,33.00,33.00,49256818535
1779232299.129752,0,1,14,nan,0.00,742135.69,826761.12,154529.28,7407769.00,911760.50,6837599.50,33.00,33.00,33.00,33.00,33.00,33.00,49384317941
1779232299.257196,0,1,14,-0.00,0.00,742862.38,826513.06,154383.72,7434941.00,914029.25,6863666.50,33.00,33.00,33.00,33.00,33.00,33.00,49511748865
1779232299.383998,0,1,14,-0.00,0.00,741891.44,827187.56,153690.59,7404013.00,911954.69,6834845.50,33.00,33.00,33.00,33.00,33.00,33.00,49639164489
1779232299.512092,0,1,14,-0.00,0.00,744448.75,827492.44,154454.81,7433553.50,913507.31,6861844.50,33.00,33.00,33.00,33.00,33.00,33.00,49766527665
1779232299.639574,0,1,14,-0.00,0.00,741568.81,826995.38,153385.08,7422733.50,912577.75,6851917.00,33.00,33.00,33.00,33.00,33.00,33.00,49894020438
1779232299.766850,0,1,14,-0.00,0.00,743479.81,826951.25,154050.28,7456413.50,914501.62,6883511.00,33.00,33.00,33.00,33.00,33.00,33.00,50021445746
1779232299.893564,0,1,14,-0.00,0.00,742261.75,826311.12,154346.48,7429142.00,912617.19,6857033.50,33.00,33.00,33.00,33.00,33.00,33.00,50148889854
1779232300.021201,0,1,14,-0.00,0.00,741726.69,827612.00,153864.09,7393200.00,910829.94,6823118.50,33.00,33.00,33.00,33.00,33.00,33.00,50276406797
1779232300.149240,0,1,14,-0.01,0.00,742164.50,826944.44,153916.56,7422490.50,913584.19,6852224.00,33.00,33.00,33.00,33.00,33.00,33.00,50403878737
1779232300.276923,0,1,14,-460.96,0.00,743097.62,826385.62,154315.17,7450108.00,914273.00,6878140.50,33.00,33.00,33.00,33.00,33.00,33.00,50531302133
1779232300.403903,0,1,14,-16688210.00,0.00,743036.06,827282.62,153561.95,7439535.50,913169.50,6867940.00,33.00,33.00,33.00,33.00,33.00,33.00,50658714706
1779232300.531179,0,1,14,-648474591232.00,0.00,742305.44,825307.25,154314.33,7407867.50,911326.56,6837192.50,33.00,33.00,33.00,33.00,33.00,33.00,50786139161
1779232300.658654,0,1,14,-24808512785743872.00,0.00,742302.44,825418.00,153743.91,7405136.00,912261.19,6836148.00,33.00,33.00,33.00,33.00,33.00,33.00,50913625708
1779232300.786101,0,1,14,-918727427846651772928.00,0.00,742126.75,825069.00,153262.36,7410556.00,910689.31,6840884.00,33.00,33.00,33.00,33.00,33.00,33.00,51040958366
1779232300.911299,0,1,14,-32426648269301491940982784.00,0.00,742842.50,825953.31,154095.97,7420637.00,911849.50,6849450.50,33.00,33.00,33.00,33.00,33.00,33.00,51167794401
1779232301.038648,0,1,14,-1178620013821347295068701065216.00,0.00,741944.06,825880.75,153816.69,7419828.50,911825.19,6848179.50,33.00,33.00,33.00,33.00,33.00,33.00,51295159610
1779232301.168171,0,1,14,-42976351162632047331003494542868480.00,0.00,741778.31,826218.00,154149.30,7399900.50,911043.31,6830054.00,33.00,33.00,33.00,33.00,33.00,33.00,51422457437
1779232301.294359,0,1,14,0.00,0.00,742362.00,825874.88,153897.94,7441579.50,913646.88,6868788.50,33.00,33.00,33.00,33.00,33.00,33.00,51550201553
1779232301.420939,0,1,14,0.00,0.00,741382.19,825701.38,153517.95,7387637.00,909930.69,6817998.00,33.00,33.00,33.00,33.00,33.00,33.00,51677716787
1779232301.548340,0,1,14,0.00,0.00,741805.12,826245.44,153327.53,7394879.00,910732.81,6824923.00,33.00,33.00,33.00,33.00,33.00,33.00,51804976487
1779232301.677718,0,1,14,0.00,0.00,741223.38,824881.81,153938.56,7416498.50,912698.12,6846128.50,33.00,33.00,33.00,33.00,33.00,33.00,51932239361
1779232301.805005,0,1,14,0.00,0.00,741959.00,825410.19,153726.14,7419405.00,912765.88,6848802.00,33.00,33.00,33.00,33.00,33.00,33.00,52059562456
1779232301.932335,0,1,14,0.00,0.00,740803.44,826383.69,153388.47,7413783.00,912305.69,6843175.00,33.00,33.00,33.00,33.00,33.00,33.00,52187003553
1779232302.059911,0,1,14,0.00,0.00,742334.25,825774.88,153880.17,7417129.00,912560.56,6845714.00,33.00,33.00,33.00,33.00,33.00,33.00,52314428170
1779232302.187328,0,1,14,0.00,0.00,741606.56,825837.62,154103.59,7394170.50,910231.12,6824022.00,33.00,33.00,33.00,33.00,33.00,33.00,52442033004
1779232302.314574,0,1,14,0.06,0.00,742631.06,826555.25,153903.86,7399540.50,910980.62,6830004.50,33.00,33.00,33.00,33.00,33.00,33.00,52569399719
1779232302.441875,0,1,14,1997.05,0.00,741911.31,827254.19,153420.62,7412695.50,911717.00,6842113.00,33.00,33.00,33.00,33.00,33.00,33.00,52696818070
1779232302.569896,0,1,14,76184792.00,0.00,742326.31,826875.81,153994.42,7408291.00,912051.81,6837076.50,33.00,33.00,33.00,33.00,33.00,33.00,52824199067
1779232302.696324,0,1,14,3079345274880.00,0.00,744351.44,828196.31,154625.77,7491200.00,919408.31,6915569.50,33.00,33.00,33.00,33.00,33.00,33.00,52952251858
1779232302.824425,0,1,14,120341770998382592.00,0.00,744877.62,826039.56,154025.73,7460618.00,917083.94,6886908.50,33.00,33.00,33.00,33.00,33.00,33.00,53080343834
1779232302.952272,0,1,14,4316115900782969094144.00,0.00,743821.31,826141.50,154497.12,7449937.50,916020.88,6876476.00,33.00,33.00,33.00,33.00,33.00,33.00,53207497252
1779232303.080982,0,1,14,155790778036149227052072960.00,0.00,743435.19,827494.38,153934.33,7422931.00,912705.19,6851625.50,33.00,33.00,33.00,33.00,33.00,33.00,53334826491
1779232303.207687,0,1,14,6218863718436374881391645556736.00,0.00,744567.88,826907.19,154576.69,7443734.00,916242.38,6872773.00,33.00,33.00,33.00,33.00,33.00,33.00,53462498423
