wall_time,gain,lux_est,raw_R,raw_G,raw_B,raw_IR,raw_CLR1,raw_CLR2,cal_R,cal_G,cal_B,cal_IR,cal_CLR1,cal_CLR2
1779232421.728418,33.0,231.72157248999488,753088.5,837958.5,155991.7,7563066.0,928420.62,6981954.0,791.9671858136409,749.5286785204119,521.8071365059675,2934.375741600521,189.12192599786675,1415.4453382809102
1779232421.855166,33.0,231.00751668977574,753481.62,835376.31,155813.98,7579634.0,930449.69,6995714.5,792.3806008904705,747.2189872190065,521.212646130519,2940.803919972472,189.53525333907174,1418.2349922341466
1779232421.982937,33.0,230.88498023576065,752363.81,834933.19,156012.86,7531863.0,925957.69,6951082.0,791.2050832189428,746.8226297048504,521.8779187271269,2922.269364865853,188.62022013829858,1409.1866851182845
1779232422.109878,33.0,230.89637055111743,752278.44,834974.38,155450.92,7539732.5,927263.5,6960386.5,791.1153059369195,746.8594729211533,519.9981757517754,2925.322633196253,188.8862173564423,1411.0729781460004
1779232422.237457,33.0,230.87440292179136,751988.56,834894.94,155520.31,7541771.0,926166.06,6961240.5,790.8104606925378,746.7884162301336,520.2302919297653,2926.1135458961094,188.66266570108692,1411.2461088081177
1779232422.365313,33.0,230.75322976602124,753967.06,834456.75,155656.58,7542696.0,927669.12,6962349.0,792.891102047614,746.3964684527189,520.6861280959951,2926.472434415789,188.96884330633046,1411.4708340293787
1779232422.492614,33.0,231.23605303897276,754584.56,836202.75,155548.25,7581404.5,929444.25,6997871.0,793.5404808885337,747.9582129456701,520.3237538985366,2941.4908519985183,189.33044234588712,1418.6721775653593
1779232422.619563,33.0,231.22194995368037,752889.0,836151.75,156001.02,7565363.5,928822.19,6983021.5,791.7573864958053,747.9125949793811,521.8383127961946,2935.2671430858877,189.2037269512137,1415.6617516085566
1779232422.746805,33.0,231.05686089643405,754426.75,835554.75,156302.3,7589802.5,928109.06,6971632.5,793.3745238441845,747.3785964328222,522.8461231738398,2944.749171769622,189.05846033801973,1413.3528697457314
1779232422.874365,33.0,231.00371438736846,753508.44,835362.56,155423.83,7553712.5,927725.75,6972323.0,792.4088054904923,747.2066882575072,519.9075571141943,2930.746699688278,188.98037899870798,1413.4928541979468
1779232423.002858,33.0,231.0584841338981,752868.12,835560.62,155637.95,7537735.5,926683.94,6957065.5,791.7354285521642,747.383846971295,520.6238089664959,2924.547821981333,188.7681593328804,1410.3997147632238
1779232423.130849,33.0,231.28375465099114,751390.94,836375.25,155295.2,7530256.5,924832.88,6949600.5,790.1819881696059,748.112509008118,519.4772774777217,2921.6460628043765,188.39109313594736,1408.8863419380425
1779232423.257794,33.0,231.19213713749656,753173.88,836043.94,156018.8,7545867.0,926997.5,6965008.5,792.0569736119206,747.816162176526,521.8977885945036,2927.70274306001,188.8320323984268,1412.009992104204
1779232423.385752,33.0,231.37132928003524,753580.94,836691.94,155992.56,7566888.5,929054.81,6984186.0,792.4850483503574,748.3957786893739,521.8100132881128,2935.8588241588736,189.25111230810683,1415.8978296601206
1779232423.513118,33.0,231.62072436891086,755141.5,837593.81,155987.48,7587670.5,929699.12,7003184.5,794.1261732798887,749.2024742826487,521.7930202028817,2943.921982230209,189.38236009118566,1419.749378704891
1779232423.640152,33.0,231.493312671882,753940.31,837133.06,155767.44,7542921.0,927544.69,6961326.5,792.862971061388,748.7903472636756,521.056965385114,2926.559731623279,188.94349656074448,1411.263543511797
1779232423.768213,33.0,231.25041606348424,753100.44,836254.69,155913.84,7573567.0,930492.12,6990601.5,791.9797422239413,748.0046717136906,521.5466873689405,2938.4499992709616,189.5438964509838,1417.1984382816813
1779232423.895645,33.0,231.61097664819408,753481.62,837558.56,155625.25,7545146.5,927202.81,6963849.5,792.3806008904705,749.1709442177138,520.581326253418,2927.4231980022487,188.8738546304951,1411.7750290627591
