wall_time,type,session,nfloats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,accuracy
1779232987.495935,0,1,14,-3979.51,0.00,792931.94,885210.88,164886.42,8066987.50,984945.38,7449408.00,33.00,33.00,33.00,33.00,33.00,33.00,737752430639
1779232987.622934,0,1,14,-148748848.00,0.00,794261.19,885583.38,166076.33,8125455.00,986062.06,7501279.50,33.00,33.00,33.00,33.00,33.00,33.00,737879645091
1779232987.750242,0,1,14,-5696963739648.00,0.00,793806.50,884368.75,164194.98,8011990.00,978979.62,7395829.50,33.00,33.00,33.00,33.00,33.00,33.00,738007043504
1779232987.877521,0,1,14,-211593625421742080.00,0.00,795115.94,886733.31,165672.64,8125168.00,985746.44,7501541.00,33.00,33.00,33.00,33.00,33.00,33.00,738134322898
1779232988.004690,0,1,14,-7669255240742976094208.00,0.00,794922.38,886417.69,165293.50,8068732.50,981860.38,7450216.00,33.00,33.00,33.00,33.00,33.00,33.00,738261458982
1779232988.131253,0,1,14,-261919582165194999725031424.00,0.00,794818.12,885074.62,165345.97,8094532.50,983638.56,7473567.50,33.00,33.00,33.00,33.00,33.00,33.00,738387863457
1779232988.258616,0,1,14,-9480345502533498173620494532608.00,0.00,794742.69,885374.56,165324.81,8055037.50,982871.81,7437861.00,33.00,33.00,33.00,33.00,33.00,33.00,738515177804
1779232988.386074,0,1,14,-349151381665736651984364770175221760.00,0.00,795112.94,886031.44,165381.52,8067187.00,981866.44,7448293.50,33.00,33.00,33.00,33.00,33.00,33.00,738642525436
1779232988.513286,0,1,14,0.00,0.00,793727.12,885615.75,165225.78,8068552.00,982929.50,7451156.50,33.00,33.00,33.00,33.00,33.00,33.00,738769772196
1779232988.641360,0,1,14,0.00,0.00,794364.44,886204.94,165351.05,8055089.00,982038.38,7438431.00,33.00,33.00,33.00,33.00,33.00,33.00,738897130245
1779232988.768416,0,1,14,0.00,0.00,794352.50,886209.81,165695.48,8050944.50,980000.25,7434596.50,33.00,33.00,33.00,33.00,33.00,33.00,739024533296
1779232988.895936,0,1,14,0.00,0.00,795036.50,886687.25,165027.75,8057279.50,980800.31,7438081.00,33.00,33.00,33.00,33.00,33.00,33.00,739152317939
1779232989.023432,0,1,14,0.00,0.00,794701.00,886337.25,165503.38,8094515.50,983882.31,7472967.50,33.00,33.00,33.00,33.00,33.00,33.00,739279662438
1779232989.151351,0,1,14,0.00,0.00,794961.06,885702.00,165664.17,8091816.00,984696.56,7472609.00,33.00,33.00,33.00,33.00,33.00,33.00,739407022724
